Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes
2026-07-23,20:00 (19:00),Europa Lg,Second qualifying round,Thu,Away,L,1,2,ch St. Gallen,61,17179,António Silva,4-2-3-1,3-5-2,Luca Pairetto,Match Report,Leg 1 of 2
2026-07-30,20:00,Europa Lg,Second qualifying round,Thu,Home,W,5,0,ch St. Gallen,72,59563,António Silva,4-2-3-1,3-5-2,Florian Badstübner,Match Report,Leg 2 of 2; Benfica won
2026-08-06,20:00,Europa Lg,Third qualifying round,Thu,Home,,,,sct Hearts,,,,,,,Head-to-Head,Leg 4 of 2
2026-08-09,,Primeira Liga,Matchweek 1,Sun,Home,,,,Acad. Viseu,,,,,,,Head-to-Head,
2026-08-13,19:45,Europa Lg,Third qualifying round,Thu,Away,,,,sct Hearts,,,,,,,Head-to-Head,Leg 15 of 2
2026-08-16,,Primeira Liga,Matchweek 2,Sun,Away,,,,Casa Pia,,,,,,,Head-to-Head,
2026-08-23,,Primeira Liga,Matchweek 3,Sun,Away,,,,Moreirense,,,,,,,Head-to-Head,
2026-08-30,,Primeira Liga,Matchweek 4,Sun,Home,,,,Estoril,,,,,,,Head-to-Head,
2026-09-06,,Primeira Liga,Matchweek 5,Sun,Away,,,,Marítimo,,,,,,,Head-to-Head,
2026-09-13,,Primeira Liga,Matchweek 6,Sun,Home,,,,Gil Vicente FC,,,,,,,Head-to-Head,
2026-09-20,,Primeira Liga,Matchweek 7,Sun,Away,,,,Porto,,,,,,,Head-to-Head,
2026-10-11,,Primeira Liga,Matchweek 8,Sun,Home,,,,Vit. Guimarães,,,,,,,Head-to-Head,
2026-10-25,,Primeira Liga,Matchweek 9,Sun,Away,,,,Santa Clara,,,,,,,Head-to-Head,
2026-11-01,,Primeira Liga,Matchweek 10,Sun,Home,,,,Alverca,,,,,,,Head-to-Head,
2026-11-08,,Primeira Liga,Matchweek 11,Sun,Away,,,,Estrela,,,,,,,Head-to-Head,
2026-11-29,,Primeira Liga,Matchweek 12,Sun,Home,,,,Famalicão,,,,,,,Head-to-Head,
2026-12-06,,Primeira Liga,Matchweek 13,Sun,Away,,,,Nacional,,,,,,,Head-to-Head,
2026-12-13,,Primeira Liga,Matchweek 14,Sun,Home,,,,Braga,,,,,,,Head-to-Head,
2026-12-20,,Primeira Liga,Matchweek 15,Sun,Away,,,,Rio Ave,,,,,,,Head-to-Head,
2026-12-27,,Primeira Liga,Matchweek 16,Sun,Home,,,,Sporting CP,,,,,,,Head-to-Head,
2027-01-10,,Primeira Liga,Matchweek 17,Sun,Away,,,,Arouca,,,,,,,Head-to-Head,
2027-01-17,,Primeira Liga,Matchweek 18,Sun,Away,,,,Acad. Viseu,,,,,,,Head-to-Head,
2027-01-24,,Primeira Liga,Matchweek 19,Sun,Home,,,,Casa Pia,,,,,,,Head-to-Head,
2027-01-31,,Primeira Liga,Matchweek 20,Sun,Home,,,,Moreirense,,,,,,,Head-to-Head,
2027-02-07,,Primeira Liga,Matchweek 21,Sun,Away,,,,Estoril,,,,,,,Head-to-Head,
2027-02-14,,Primeira Liga,Matchweek 22,Sun,Home,,,,Marítimo,,,,,,,Head-to-Head,
2027-02-21,,Primeira Liga,Matchweek 23,Sun,Away,,,,Gil Vicente FC,,,,,,,Head-to-Head,
2027-02-28,,Primeira Liga,Matchweek 24,Sun,Home,,,,Porto,,,,,,,Head-to-Head,
2027-03-07,,Primeira Liga,Matchweek 25,Sun,Away,,,,Vit. Guimarães,,,,,,,Head-to-Head,
2027-03-14,,Primeira Liga,Matchweek 26,Sun,Home,,,,Santa Clara,,,,,,,Head-to-Head,
2027-03-21,,Primeira Liga,Matchweek 27,Sun,Away,,,,Alverca,,,,,,,Head-to-Head,
2027-04-04,,Primeira Liga,Matchweek 28,Sun,Home,,,,Estrela,,,,,,,Head-to-Head,
2027-04-11,,Primeira Liga,Matchweek 29,Sun,Away,,,,Famalicão,,,,,,,Head-to-Head,
2027-04-18,,Primeira Liga,Matchweek 30,Sun,Home,,,,Nacional,,,,,,,Head-to-Head,
2027-04-25,,Primeira Liga,Matchweek 31,Sun,Away,,,,Braga,,,,,,,Head-to-Head,
2027-05-02,,Primeira Liga,Matchweek 32,Sun,Home,,,,Rio Ave,,,,,,,Head-to-Head,
2027-05-09,,Primeira Liga,Matchweek 33,Sun,Away,,,,Sporting CP,,,,,,,Head-to-Head,
2027-05-16,,Primeira Liga,Matchweek 34,Sun,Home,,,,Arouca,,,,,,,Head-to-Head,
